Date,Open,High,Low,Last,Close,Quantity,Turnover
10/17/2016,2368.9,2375.8,2344.4,2374.95,2362.45,1364173,32216.32
10/14/2016,2315,2387,2291,2370.6,2366.2,3870607,90727.67
10/13/2016,2363.3,2369.9,2320.9,2334,2328.9,2586667,60466.75
10/10/2016,2369.9,2386.9,2355.05,2380,2380.3,601071,14257.81
10/7/2016,2388,2388,2358.2,2370,2367.8,908256,21500.8
10/6/2016,2395,2402.4,2372.75,2386.85,2388.75,1133786,27043.91
10/5/2016,2408,2415.4,2376.1,2386,2386.35,588177,14054.42
10/4/2016,2420,2425.05,2398,2407,2405.15,890359,21442.94
10/3/2016,2450,2457.65,2401.1,2407.5,2411.7,909440,21982.2
9/30/2016,2437.05,2449.8,2423.1,2432.2,2430.8,1087682,26458.42
9/29/2016,2435,2456.5,2419.6,2437,2437.8,1801979,43894.8
9/28/2016,2431,2437.5,2415.2,2425,2423.05,865664,20982.67
9/27/2016,2401.1,2448,2401.1,2437,2436.1,1019396,24818.15
9/26/2016,2401.1,2419.1,2395,2395.1,2401.1,876738,21109.51
9/23/2016,2382,2403.85,2371.15,2400,2398.1,900363,21556.62
9/22/2016,2425.25,2428,2371.1,2380,2378,1428787,34179.32
9/21/2016,2407.7,2424,2400.7,2412,2413.4,839010,20243.42
9/20/2016,2411,2416.9,2385.4,2410,2406.5,592276,14208.97
9/19/2016,2365,2427,2350,2411,2411.45,1401273,33715.15
9/16/2016,2336.7,2376,2320,2368,2361.7,2179002,51120.9
9/15/2016,2339.95,2342.1,2316.75,2325,2326.95,1409482,32798.96
9/14/2016,2362,2377.6,2310,2332,2328.45,1034929,24120.58
9/12/2016,2337,2363.95,2324,2358,2359.05,1012227,23837.8
9/9/2016,2329.7,2366.65,2320.05,2352,2352.45,1371219,32193.7
9/8/2016,2360,2360,2284.75,2327.7,2322.1,3510758,81207.74
